0 0.005
1 1.60327
2 2.88542
3 4.12472
4 5.3212
5 6.47486
6 7.5857
7 8.65375
8 9.67899
9 10.6615
10 11.6011
11 12.498
12 13.3522
13 14.1636
14 14.9322
15 15.6581
16 16.3413
17 16.9817
18 17.5794
19 18.1344
20 18.6467
21 19.1163
22 19.5431
23 19.9273
24 20.2688
25 20.5676
26 20.8236
27 21.0371
28 21.2078
29 21.3358
30 21.4212
31 21.4639
32 21.4639
33 21.4212
34 21.3358
35 21.2078
36 21.0371
37 20.8236
38 20.5676
39 20.2688
40 19.9273
41 19.5431
42 19.1163
43 18.6467
44 18.1344
45 17.5794
46 16.9817
47 16.3413
48 15.6581
49 14.9322
50 14.1636
51 13.3522
52 12.498
53 11.6011
54 10.6615
55 9.67899
56 8.65375
57 7.5857
58 6.47486
59 5.3212
60 4.12472
61 2.88542
62 1.60327
63 0.005
